e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12
0.66,0.55,0.15,0.81,0.54,0.66,0.06,0.83,0.42,0.42,0.66,0.55
0.08,0.19,0.77,0.26,0.28,0.71,0.21,0.96,0.45,0.42,0.08,0.19
0.5,0.52,0.78,0.11,0.8,0.2,0.22,0.87,0.07,0.9,0.5,0.52
0.5,0.58,0.76,0.25,0.73,0.31,0.23,0.45,0.22,0.38,0.5,0.58
0.57,0.18,0.02,0.97,0.34,0.7,0.83,0.37,0.25,0.07,0.57,0.18
0.41,0.58,0.44,0.77,0.59,0.35,0.32,0.14,0.74,0.72,0.41,0.58
0.44,0.94,0.73,0.42,0.31,0.57,0.04,0.37,0.61,0.25,0.44,0.94
0.17,0.8,0.13,0.32,0.61,0.8,0.37,0.39,0.39,0.18,0.17,0.8
0.8,0.79,0.12,0.38,0.98,0.49,0.17,0.25,0.03,0.7,0.8,0.79
0.24,0.61,0.51,0.64,0.45,0.45,0.63,0.73,0.46,0.85,0.24,0.61
0.56,0.37,0.86,0.48,0.04,0.08,0.26,0.76,0.9,0.97,0.56,0.37
0.49,0.37,0.39,0.27,0.63,0.65,0.39,0.84,0.17,0.68,0.49,0.37
0.71,0.72,0.94,0.4,0.06,0.3,0.68,0.62,0.4,0.39,0.71,0.72
0.94,0.49,0.2,0.13,0.41,0.37,0.73,0.74,0.23,0.05,0.94,0.49
0.83,0.12,0.36,0.89,0.54,0.93,0.35,0.86,0.25,0.56,0.83,0.12
0.49,0.67,0.02,0.48,0.15,0.98,0.96,0.5,0.88,0.97,0.49,0.67
0.23,0.97,0.17,0.71,0.58,0.22,0.64,0.17,0.39,0.18,0.23,0.97
0.99,0.3,0.04,0.42,0.35,0.51,0.34,0.36,0.46,0.58,0.99,0.3
0.8,0.92,0.67,0.17,0.92,0.92,0.48,0.76,0.35,0.03,0.8,0.92
0.12,0.08,0.43,0.54,0.1,0.01,0.03,0.03,0.98,0.4,0.12,0.08
0.22,0.7,0.48,0.45,0.77,0.17,0.13,0.09,0.32,0.78,0.22,0.7
0.25,0.83,0.61,0.7,0.09,0.39,0.77,0.35,0.19,0.19,0.25,0.83
0.41,0.06,0.13,0.99,0.68,0.12,0.44,0.66,0.78,0.02,0.41,0.06
0.45,0.44,0.03,0.17,0.98,0.05,0.5,0.86,0.37,0.82,0.45,0.44
0.5,0.98,0.71,0.65,0.5,0.09,0.3,0.55,0.6,0.73,0.5,0.98
0.77,0.16,0.92,0.92,0.31,0.5,0.97,0.66,0.92,0.46,0.77,0.16
0.62,0.85,0.02,0.62,0.03,0.27,0.18,0.59,0.02,0.35,0.62,0.85
0.13,0.7,0.91,0.2,0.75,0.53,0.31,0.74,0.24,0.59,0.13,0.7
0.97,0.85,0.11,0.24,0.67,0.22,0.26,0.5,0.8,0.98,0.97,0.85
0.94,0.25,0.97,0.25,0.08,0.86,0.22,0.57,0.55,0.01,0.94,0.25
0.6,0.19,0.12,0.55,0.49,0.35,0.72,0.55,0.03,0.14,0.6,0.19
0.24,0.97,0.48,0,0.5,0.42,0.16,0.58,0.51,0.16,0.24,0.97
0.32,0.03,0.32,0.14,0.43,0.53,0.61,0.24,0.25,0,0.32,0.03
0.25,0.48,0.19,0.75,0.54,0.13,0.51,0.84,0.8,0.85,0.25,0.48
0.94,0.15,0.09,0.4,0.82,0.89,0.71,0.65,0,0.16,0.94,0.15
0.23,0.1,0.01,0.7,0.12,0.42,0.89,0.11,0.96,0.6,0.23,0.1
0.7,0.62,0.5,0.9,0.43,0.26,0.52,0.54,0.1,0.25,0.7,0.62
0.95,0.14,0.92,0.55,0.31,0.54,0.3,0.52,0.57,0.1,0.95,0.14
0.97,0.63,0.25,0.19,0.01,0.1,0.15,0.36,0.1,0.81,0.97,0.63
0.07,0.34,0.33,0.68,0.75,0.47,0.66,0.24,0.66,0.4,0.07,0.34
